project_name,pull_total_mean,pull_opened_mean,pull_closed_mean,pull_merged_mean,commits_mean,stars_mean,forks_mean,languages_count,has_readme,has_contributing,has_wiki,has_project_board,has_issue_tracker,newcomers_mean,language,age,domain,owner
couchdb,9,1,5,5,93,32,6,10,0,1,0,1,1,1.0,Erlang,8,System software,Organization
ejabberd,6,1,2,6,33,34,10,9,1,0,1,1,1,1.0,Erlang,7,Non-web libraries and frameworks,Organization
rabbitmq-server,12,1,2,14,149,38,10,5,1,1,0,1,1,1.5,Erlang,7,System software,Organization
emqttd,9,1,1,9,58,43,11,2,1,0,1,1,1,0.0,Erlang,5,,Organization
ChicagoBoss,5,1,2,4,20,17,3,7,1,0,1,1,1,0.0,Erlang,8,,Organization
theBeamBook,10,0,0,10,22,262,22,8,1,0,1,1,1,1.0,Erlang,0,,User
mochiweb,1,1,1,1,6,17,4,4,1,0,1,1,1,1.0,Erlang,7,,Organization
lfe,3,1,1,2,10,15,1,5,1,0,1,1,1,0.0,Erlang,9,,User
disco,5,1,1,6,43,13,2,8,1,0,1,1,1,0.0,Erlang,9,,Organization
webmachine,3,1,2,2,7,15,3,5,1,0,1,1,1,0.0,Erlang,7,,Organization
tsung,2,1,1,2,12,15,4,8,1,0,0,1,1,1.0,Erlang,7,,Organization
rebar,7,1,7,2,26,12,3,3,1,1,0,1,0,0.0,Erlang,5,,Organization
n2o,5,0,1,4,34,19,3,5,1,0,1,1,1,1.0,Erlang,4,,Organization
leofs,3,1,1,3,20,18,2,7,1,0,1,1,1,0.0,Erlang,5,,Organization
yaws,2,0,1,1,13,9,2,14,1,0,1,1,1,1.0,Erlang,8,,User
vernemq,6,2,1,6,37,35,3,6,0,0,1,1,1,1.0,Erlang,2,,Organization
actordb,1,0,0,1,13,22,2,5,1,0,1,1,1,1.0,Erlang,3,,Organization
poolboy,1,1,1,1,5,12,2,2,1,0,1,1,1,0.0,Erlang,7,,User
rebar,7,1,7,2,26,12,3,3,1,1,0,1,0,0.0,Erlang,5,,Organization
lager,3,0,2,3,12,12,4,3,1,0,1,1,1,0.0,Erlang,6,,Organization
riak_core,9,1,2,7,23,10,3,2,1,0,1,1,1,0.0,Erlang,7,,Organization
nitrogen,2,1,1,2,12,8,1,9,0,0,1,1,1,1.0,Erlang,9,,Organization
alpaca,8,1,1,8,40,51,2,2,1,0,1,1,1,1.0,Erlang,1,,Organization
logplex,3,1,1,2,30,11,1,4,1,0,1,1,1,0.0,Erlang,7,,Organization
reia,1,0,0,1,37,7,1,3,1,0,1,1,1,0.0,Erlang,9,,User
gproc,1,1,1,1,4,8,2,2,1,0,1,1,1,0.0,Erlang,7,,User
legacy-homebrew,460,0,470,3,717,285,133,3,1,0,0,0,1,0.0,Ruby,8,Software tools,Organization
awesome-awesomeness,7,0,11,8,11,503,62,1,1,1,0,1,1,1.0,Ruby,3,Documentation,User
devise,12,2,5,7,36,182,41,2,1,1,1,1,1,0.0,Ruby,8,Non-web libraries and frameworks,Organization
huginn,17,2,3,13,52,309,33,6,1,0,1,1,1,1.286,Ruby,4,Software tools,Organization
ruby,20,3,18,2,215,141,35,22,1,1,0,0,0,0.0,Ruby,7,System software,Organization
bootstrap-sass,5,1,3,3,18,169,43,5,1,1,0,1,1,0.0,Ruby,6,Web libraries and frameworks,Organization
diaspora,38,2,16,23,218,134,32,6,1,1,1,1,1,1.333,Ruby,7,Application software,Organization
sass,5,1,3,3,49,122,22,4,1,1,0,1,1,1.0,Ruby,7,Software tools,Organization
capistrano,9,1,3,7,28,94,13,3,1,1,0,1,1,1.167,Ruby,8,Software tools,Organization
CocoaPods,15,2,4,12,94,132,24,2,1,1,1,1,1,1.167,Ruby,6,Software tools,Organization
sinatra,8,1,3,6,33,91,14,6,1,1,0,1,1,1.4,Ruby,8,Web libraries and frameworks,Organization
octopress,13,2,9,5,14,99,31,4,0,0,1,1,1,0.0,Ruby,8,Application software,User
paperclip,9,2,6,3,16,77,15,3,1,1,1,1,1,0.0,Ruby,9,Non-web libraries and frameworks,Organization
grape,11,1,3,7,23,94,11,1,1,1,0,1,1,1.0,Ruby,7,Web libraries and frameworks,Organization
laravel,36,0,23,13,72,462,149,4,0,0,0,1,0,1.444,PHP,6,Web libraries and frameworks,Organization
CodeIgniter,35,1,19,16,72,203,93,8,0,0,1,1,1,1.167,PHP,6,Web libraries and frameworks,Organization
DesignPatternsPHP,4,1,1,3,14,217,44,6,1,0,1,1,1,1.0,PHP,6,Documentation,User
Faker,13,2,5,8,30,162,24,2,0,1,0,1,1,1.286,PHP,6,Web libraries and frameworks,User
yii2,107,5,41,62,222,164,108,9,1,0,1,0,1,1.5,PHP,5,Web libraries and frameworks,Organization
guzzle,10,1,3,7,40,125,20,3,1,0,0,1,1,1.0,PHP,6,Web libraries and frameworks,Organization
WordPress,4,1,5,0,213,139,75,3,0,0,0,1,0,1.0,PHP,6,Application software,Organization
PHPMailer,4,1,2,3,17,131,67,2,1,0,1,1,1,1.333,PHP,6,Non-web libraries and frameworks,Organization
PHPExcel,6,2,4,2,17,143,48,2,1,0,1,1,1,0.0,PHP,5,Non-web libraries and frameworks,Organization
phabricator,4,0,2,4,179,109,14,9,1,0,0,1,0,0.0,PHP,6,Documentation,Organization
sage,11,1,4,7,26,107,31,4,1,0,1,1,1,1.333,PHP,6,Web libraries and frameworks,Organization
Slim,12,2,6,9,40,98,19,2,1,1,1,1,1,1.0,PHP,7,Web libraries and frameworks,Organization
koel,9,1,4,6,53,372,37,6,1,0,1,1,1,0.0,PHP,2,Application software,User
piwik,39,3,7,35,201,101,19,11,1,1,1,0,1,1.5,PHP,6,Software tools,Organization
Mobile-Detect,3,1,1,2,11,116,31,1,1,0,1,1,1,1.0,PHP,5,Web libraries and frameworks,User
SecLists,2,2,2,5,7,129,51,6,1,0,1,1,1,0.0,PHP,5,Documentation,User
Cachet,35,2,6,28,137,199,22,4,1,1,0,0,1,1.333,PHP,3,Software tools,Organization
api,7,2,3,6,32,154,22,1,0,1,1,1,1,0.0,PHP,3,Web libraries and frameworks,Organization
paperwork,10,3,2,10,35,155,16,7,1,0,1,1,1,0.0,PHP,3,Application software,Organization
Carbon,11,3,4,13,25,104,13,1,0,0,1,1,1,0.0,PHP,5,Web libraries and frameworks,User
