project_name,pull_total_mean,pull_opened_mean,pull_closed_mean,pull_merged_mean,commits_mean,stars_mean,forks_mean,languages_count,has_readme,has_contributing,has_wiki,has_project_board,has_issue_tracker,newcomers_mean,language,age,domain,owner
overtone,2,1,2,3,39,45,4,2,1,0,1,1,1,1.5,Clojure,7,Non-web libraries and frameworks,Organization
icepick,1,0,1,1,8,67,4,2,1,0,1,1,1,0.0,Clojure,4,Non-web libraries and frameworks,User
riemann,7,1,2,6,25,51,6,4,0,0,0,1,1,1.0,Clojure,5,Software tools,Organization
compojure,1,1,1,1,12,29,2,2,1,0,1,1,1,0.0,Clojure,9,Web libraries and frameworks,User
clojure-koans,2,0,1,1,5,34,19,4,1,0,1,1,1,0.0,Clojure,7,Documentation,Organization
mori,3,1,1,4,16,47,2,5,1,0,1,1,1,0.0,Clojure,5,Web libraries and frameworks,User
reagent,1,1,1,1,20,59,4,5,1,1,1,1,1,1.0,Clojure,4,Web libraries and frameworks,Organization
alda,4,0,1,4,18,80,7,2,1,1,0,1,1,1.0,Clojure,3,Non-web libraries and frameworks,Organization
re-frame,7,1,2,5,42,82,8,5,1,1,1,1,1,1.5,Clojure,3,Documentation,Organization
datascript,2,1,1,1,11,63,4,4,1,0,1,1,1,1.0,Clojure,3,Non-web libraries and frameworks,User
jepsen,2,0,1,2,24,47,5,6,1,0,0,1,1,1.333,Clojure,4,,Organization
modern-cljs,6,1,3,6,43,42,4,2,1,0,0,1,1,1.0,Clojure,5,,User
ring,2,1,1,2,10,37,4,5,1,0,1,1,1,1.0,Clojure,5,,Organization
lein-figwheel,3,1,1,3,33,54,4,5,1,0,1,1,1,1.5,Clojure,3,,User
quil,2,1,1,2,15,30,2,4,1,0,1,1,1,0.0,Clojure,5,,Organization
incanter,2,1,1,2,17,18,3,5,0,0,1,1,1,0.0,Clojure,8,,Organization
aleph,2,1,1,1,13,22,2,1,1,0,0,1,1,0.0,Clojure,7,,User
clojure-cookbook,14,1,3,12,59,35,6,2,1,1,0,1,1,0.0,Clojure,4,,Organization
instaparse,1,1,1,1,19,33,2,1,1,0,1,1,1,0.0,Clojure,4,,User
pedestal,4,1,1,4,27,32,3,6,1,1,1,1,1,1.5,Clojure,4,,Organization
schema,4,1,1,4,19,36,4,2,1,1,1,1,1,0.0,Clojure,4,,Organization
hiccup,1,1,1,1,6,17,1,1,1,0,1,1,1,0.0,Clojure,8,,User
onyx,6,0,2,5,143,41,4,2,1,0,1,1,1,0.0,Clojure,4,,Organization
transit-format,2,0,1,0,5,38,2,2,1,0,1,1,1,0.0,Clojure,3,,Organization
specter,1,0,1,1,27,46,2,3,1,0,1,1,1,1.0,Clojure,2,,User
incubator-predictionio,7,1,5,6,80,182,30,5,1,1,0,1,0,1.0,Scala,4,System software,Organization
shadowsocks-android,3,1,1,3,34,159,77,9,1,1,1,1,1,0.0,Scala,5,Non-web libraries and frameworks,Organization
scala,85,4,21,63,156,127,29,10,1,1,0,1,0,1.0,Scala,6,System software,Organization
gitbucket,10,1,2,8,72,121,16,6,1,0,1,0,1,1.0,Scala,4,Application software,Organization
ArnoldC,2,1,2,1,5,115,6,1,1,0,1,1,1,0.0,Scala,4,System software,User
aerosolve,10,1,1,9,40,146,18,4,1,0,0,1,1,1.0,Scala,2,Non-web libraries and frameworks,Organization
kafka-manager,4,1,1,4,16,129,33,5,1,0,1,1,1,1.0,Scala,2,Software tools,Organization
chronos,8,2,2,8,25,68,9,5,1,0,0,1,1,0.0,Scala,4,Application software,Organization
snowflake,1,1,2,0,11,42,8,0,1,0,0,1,1,0.0,Scala,7,Web libraries and frameworks,Organization
snowplow,4,1,3,1,85,55,13,12,1,1,1,1,1,1.0,Scala,5,Web libraries and frameworks,Organization
marathon,46,2,7,39,111,68,15,10,1,0,0,1,1,1.4,Scala,4,Software tools,Organization
bfg-repo-cleaner,1,1,1,1,11,60,3,2,1,1,1,1,1,0.0,Scala,5,Software tools,User
fpinscala,3,2,2,4,11,54,29,3,1,0,1,1,1,0.0,Scala,5,Documentation,Organization
scalaz,14,2,3,12,56,35,6,2,1,1,1,0,1,0.0,Scala,7,Non-web libraries and frameworks,Organization
sbt,17,2,5,14,56,33,6,4,1,1,1,1,1,1.0,Scala,8,Software tools,Organization
flockdb,2,0,2,2,28,35,3,4,0,0,0,1,0,0.0,Scala,7,System software,Organization
scala-js,31,1,3,28,75,55,4,6,1,1,1,1,1,1.0,Scala,4,Software tools,Organization
diffy,2,1,1,2,5,115,10,7,1,0,0,1,1,0.0,Scala,2,Web libraries and frameworks,Organization
scalding,17,1,3,14,58,43,9,5,1,1,1,1,1,0.0,Scala,5,Non-web libraries and frameworks,Organization
kestrel,1,0,3,1,18,24,3,4,1,0,1,1,1,0.0,Scala,9,Software tools,Organization
linkerd,44,2,6,38,50,132,11,8,1,1,1,1,1,1.25,Scala,1,,Organization
spray,8,1,2,9,46,33,8,5,0,1,1,1,1,0.0,Scala,6,Web libraries and frameworks,Organization
scalatra,4,1,1,4,31,22,3,4,0,0,0,1,1,1.0,Scala,8,,Organization
awesome-python,20,10,6,9,29,970,176,2,1,1,0,1,1,1.5,Python,3,Documentation,User
thefuck,11,1,3,10,46,1032,50,2,1,1,1,1,1,1.0,Python,2,Software tools,User
flask,13,1,5,9,34,331,104,4,1,0,0,1,1,1.231,Python,7,Web libraries and frameworks,Organization
big-list-of-naughty-strings,7,3,3,8,17,841,32,3,1,0,1,1,1,0.0,Python,2,Documentation,User
shadowsocks,2,1,1,1,1,304,139,2,1,0,1,1,1,0.0,Python,5,Software tools,Organization
system-design-primer,11,1,3,7,24,2803,303,1,1,1,1,1,1,1.0,Python,0,,User
XX-Net,11,1,3,9,42,509,160,8,1,0,1,1,1,1.0,Python,2,Non-web libraries and frameworks,Organization
YouCompleteMe,10,1,3,7,34,222,29,4,1,1,1,1,1,0.0,Python,5,Software tools,User
you-get,9,2,3,7,28,242,49,3,1,0,1,1,1,1.5,Python,5,Application software,User
reddit,10,3,10,1,83,125,27,11,1,1,1,1,1,0.0,Python,9,Application software,Organization
Deep-Learning-Papers-Reading-Roadmap,4,2,2,2,13,1138,205,1,1,0,1,1,1,1.0,Python,1,Documentation,User
python-patterns,3,0,1,3,9,200,45,2,1,0,1,1,1,1.25,Python,5,Documentation,User
macOS-Security-and-Privacy-Guide,4,0,1,3,17,457,27,1,1,0,0,0,1,1.333,Python,2,Documentation,User
d3,13,1,8,6,50,655,212,1,1,0,1,0,1,0.0,JavaScript,7,Web libraries and frameworks,Organization
angular.js,89,3,79,7,91,571,316,5,1,1,1,1,1,1.444,JavaScript,7,Web libraries and frameworks,Organization
jquery,26,1,23,4,46,444,138,4,1,1,1,1,1,1.167,JavaScript,8,Web libraries and frameworks,Organization
html5-boilerplate,10,1,8,5,19,412,103,3,1,0,1,1,1,1.167,JavaScript,7,Web libraries and frameworks,Organization
Semantic-UI,14,4,5,6,120,744,80,3,1,1,1,1,1,1.0,JavaScript,4,Web libraries and frameworks,Organization
reveal.js,8,2,5,4,29,481,147,3,1,1,1,1,1,0.0,JavaScript,6,Web libraries and frameworks,User
socket.io,8,1,5,5,24,394,74,2,0,0,0,1,1,1.25,JavaScript,7,Non-web libraries and frameworks,Organization
express,9,1,6,3,59,340,64,3,0,0,1,1,1,1.5,JavaScript,8,Web libraries and frameworks,Organization
impress.js,4,1,4,2,7,461,93,3,1,0,1,1,1,0.0,JavaScript,6,Web libraries and frameworks,Organization
resume.github.com,4,1,8,4,9,445,11,4,0,0,1,1,1,0.0,JavaScript,6,Application software,Organization
hacker-scripts,9,1,4,10,16,1279,226,14,1,0,0,0,1,0.0,JavaScript,2,Application software,User
brackets,73,2,14,59,250,401,83,8,1,1,1,1,1,1.444,JavaScript,6,Application software,Organization
jQuery-File-Upload,4,1,3,1,14,335,88,7,1,1,1,1,0,1.0,JavaScript,7,Web libraries and frameworks,User
gulp,10,1,3,7,21,538,78,2,1,1,0,1,1,1.5,JavaScript,4,Software tools,Organization
diff-so-fancy,7,1,3,6,23,431,8,2,0,0,1,1,1,1.333,Perl,1,Software tools,Organization
gitolite,2,1,2,1,10,68,8,3,0,1,1,1,0,1.0,Perl,8,Software tools,User
FlameGraph,2,1,1,2,5,71,8,5,1,0,1,1,1,1.25,Perl,6,Web libraries and frameworks,User
Expose,2,1,1,3,12,154,8,5,0,0,1,1,1,0.0,Perl,2,Documentation,User
MySQLTuner-perl,2,0,2,3,12,38,8,4,1,1,1,1,1,1.333,Perl,8,Software tools,User
cloc,2,1,1,2,16,136,10,62,1,0,1,1,1,1.0,Perl,2,Software tools,User
EQGRP,8,1,3,12,33,545,333,11,1,0,1,1,1,0.0,Perl,0,,User
sicp-pdf,1,2,0,1,4,35,4,4,1,0,1,1,1,1.0,Perl,6,Documentation,User
ua-parser,6,1,2,6,25,22,7,15,0,1,0,1,1,0.0,Perl,7,,User
mojo,5,1,4,2,102,17,4,4,1,0,1,1,1,0.0,Perl,9,,User
nginx-tutorials,1,0,1,1,14,26,5,3,0,0,1,1,1,0.0,Perl,6,,Organization
nikto,5,1,1,4,17,30,5,3,1,0,1,1,1,1.0,Perl,5,,User
rcm,3,1,2,2,6,32,2,6,1,1,1,1,1,0.0,Perl,4,,Organization
duckduckgo,2,1,1,2,11,17,3,2,1,1,1,1,1,0.0,Perl,6,,Organization
ack2,2,1,2,2,33,19,2,16,1,1,1,1,1,0.0,Perl,6,,Organization
sqitch,1,1,1,1,42,21,2,4,1,0,1,1,1,1.0,Perl,5,,User
pgbadger,1,1,1,1,13,17,2,3,1,1,1,1,1,1.0,Perl,5,,Organization
ABTestingGateway,1,0,1,1,8,42,15,8,1,0,1,1,1,0.0,Perl,2,,Organization
dotfiles,1,1,1,2,13,38,6,4,1,0,0,1,0,1.0,Perl,2,Software tools,User
munin,9,1,2,8,44,16,5,11,0,1,1,1,1,1.0,Perl,5,,Organization
owasp-modsecurity-crs,7,1,2,6,18,17,6,5,1,0,1,1,1,0.0,Perl,5,,Organization
lua-resty-auto-ssl,1,1,1,1,10,48,2,4,1,0,1,1,1,0.0,Perl,1,,User
rsnapshot,2,1,1,2,13,17,2,4,1,1,1,1,1,1.0,Perl,5,,Organization
git-cal,3,1,2,3,8,19,2,1,1,0,1,1,1,0.0,Perl,4,,User
contrib,11,1,2,10,52,13,8,10,1,0,0,1,1,1.4,Perl,6,,Organization
Linux_Exploit_Suggester,1,1,0,1,8,19,5,1,1,0,1,1,1,0.0,Perl,4,,User
MultiMarkdown,1,1,1,0,8,9,5,2,0,0,1,1,1,0.0,Perl,8,,User
rainbarf,1,0,1,1,9,16,3,1,1,0,1,1,1,0.0,Perl,4,,User
AirChat,2,0,1,1,3,22,3,1,1,0,1,1,1,0.0,Perl,3,,User
prey-bash-client,1,1,2,1,27,8,1,3,1,0,1,1,1,0.0,Perl,8,,Organization
atom,52,4,11,39,445,869,178,6,1,1,0,1,1,1.429,CoffeeScript,5,Application software,Organization
coffeescript,10,1,4,7,47,151,17,2,1,1,1,1,1,1.0,CoffeeScript,8,System software,User
trix,3,1,2,2,53,331,14,5,1,0,1,1,1,0.0,CoffeeScript,4,Web libraries and frameworks,Organization
zxcvbn,1,1,1,2,10,118,7,4,1,0,0,1,1,0.0,CoffeeScript,5,Web libraries and frameworks,Organization
vimium,9,2,4,6,41,77,10,5,1,1,1,1,1,1.0,CoffeeScript,8,Application software,User
SwitchyOmega,1,0,1,1,14,133,27,4,1,0,1,1,1,1.0,CoffeeScript,5,Software tools,User
morris.js,3,1,2,3,10,97,16,5,1,0,1,1,1,0.0,CoffeeScript,5,Web libraries and frameworks,Organization
dynamics.js,2,0,1,1,10,156,11,1,1,0,0,1,1,0.0,CoffeeScript,3,Web libraries and frameworks,User
marp,4,1,2,5,27,360,20,5,1,0,1,1,1,1.0,CoffeeScript,1,Web libraries and frameworks,User
bacon.js,5,1,2,4,40,91,4,4,1,1,1,1,1,1.0,CoffeeScript,5,Non-web libraries and frameworks,Organization
codecombat,57,2,8,50,303,124,63,7,1,1,1,1,1,1.5,CoffeeScript,4,Application software,Organization
At.js,2,1,1,2,10,68,8,4,1,1,1,1,1,1.0,CoffeeScript,5,Web libraries and frameworks,User
chroma.js,1,1,1,1,9,70,5,3,0,0,1,1,1,1.0,CoffeeScript,6,Web libraries and frameworks,User
sharelatex,1,3,1,2,7,102,11,2,1,1,1,1,1,1.5,CoffeeScript,3,Application software,Organization
textures,2,1,2,2,7,136,7,2,1,0,1,1,1,0.0,CoffeeScript,2,Web libraries and frameworks,User
turbolinks,3,1,1,2,14,211,13,4,1,0,1,1,1,0.0,CoffeeScript,1,Web libraries and frameworks,Organization
vibrant.js,1,1,1,1,3,141,5,3,1,0,1,1,1,0.0,CoffeeScript,2,Web libraries and frameworks,User
bootstrap-tour,3,1,2,2,14,62,12,4,1,0,0,1,1,1.0,CoffeeScript,5,Documentation,User
jquery.payment,2,0,3,2,7,64,9,2,1,0,0,1,1,0.0,CoffeeScript,5,Web libraries and frameworks,Organization
turbolinks-classic,6,1,3,4,16,59,7,5,1,0,1,1,1,0.0,CoffeeScript,5,Web libraries and frameworks,Organization
hubot-scripts,22,1,5,23,62,47,26,2,1,1,1,1,1,0.0,CoffeeScript,6,Software tools,Organization
pow,2,1,3,1,20,43,3,3,1,0,1,1,1,0.0,CoffeeScript,6,Software tools,Organization
Log.io,1,1,1,1,6,45,6,3,1,0,1,0,1,0.0,CoffeeScript,6,Web libraries and frameworks,Organization
