project_name,pull_total_mean,pull_opened_mean,pull_closed_mean,pull_merged_mean,commits_mean,stars_mean,forks_mean,languages_count,has_readme,has_contributing,has_wiki,has_project_board,has_issue_tracker,newcomers_mean,language,age,domain,owner
redux,46,2,15,31,86,1180,265,3,1,1,0,1,1,3.888888888888889,JavaScript,2,Web libraries and frameworks,Organization
moment,19,5,12,7,49,421,64,3,1,1,0,1,1,9.666666666666666,JavaScript,6,Non-web libraries and frameworks,Organization
Chart.js,22,3,8,20,50,589,141,2,1,0,0,0,1,2.0,JavaScript,4,Web libraries and frameworks,Organization
webpack,27,3,6,21,68,573,79,5,1,1,1,1,1,3.5384615384615383,JavaScript,5,Web libraries and frameworks,Organization
materialize,31,5,17,10,90,783,113,3,1,1,1,1,1,2.2,JavaScript,3,Web libraries and frameworks,User
material-ui,99,3,25,74,155,783,145,4,1,1,1,0,1,3.8666666666666667,JavaScript,3,Web libraries and frameworks,Organization
pdfkit,2,1,2,2,8,46,6,4,1,0,1,1,1,2.0,CoffeeScript,6,Non-web libraries and frameworks,User
Chameleon,3,1,2,3,13,255,24,3,1,0,1,1,1,2.0,Objective-C,3,Non-web libraries and frameworks,User
purescript,30,2,4,25,75,82,6,7,1,1,1,1,1,1.6,Haskell,4,Software tools,Organization
stack,28,1,4,24,172,82,16,5,1,1,1,1,1,1.5714285714285714,Haskell,2,,Organization
Idris-dev,31,2,4,27,120,31,7,13,1,1,1,1,1,1.9090909090909092,Haskell,6,,Organization
ghc,3,1,3,1,187,23,5,27,1,0,0,1,0,1.7777777777777777,Haskell,6,,Organization
eta,8,1,1,8,80,82,6,11,1,0,0,1,1,2.0,Haskell,1,,Organization
duckling,12,1,12,0,26,145,19,1,1,1,1,1,1,2.9,Haskell,0,,Organization
moby,320,8,66,252,596,799,229,8,1,1,1,1,1,2.6666666666666665,Go,4,System software,Organization
go,2,0,2,0,295,950,126,16,1,1,1,0,1,7.833333333333333,Go,3,,Organization
kubernetes,771,45,130,621,1384,676,234,11,1,1,1,1,1,10.214285714285714,Go,3,Software tools,Organization
awesome-go,37,2,9,28,61,607,73,1,1,1,0,1,1,4.785714285714286,Go,3,Documentation,User
hugo,32,2,25,14,71,387,52,3,1,1,0,1,1,2.3,Go,4,Non-web libraries and frameworks,Organization
build-web-application-with-golang,10,1,2,9,75,292,88,3,1,0,1,1,1,1.7777777777777777,Go,5,Documentation,User
grafana,39,6,11,27,191,395,64,10,1,0,1,1,1,3.2857142857142856,Go,4,Web libraries and frameworks,Organization
etcd,102,2,14,86,232,293,56,7,1,1,0,0,1,3.0,Go,4,System software,Organization
caddy,23,1,4,19,60,441,31,4,1,0,1,0,1,1.9230769230769231,Go,2,System software,User
beego,17,1,7,10,51,184,47,1,1,1,1,1,1,1.8,Go,5,Web libraries and frameworks,User
influxdb,76,3,14,61,228,240,34,6,1,1,1,1,1,1.5714285714285714,Go,4,System software,Organization
prometheus,33,2,4,32,68,216,33,7,1,1,1,1,1,2.5,Go,5,Software tools,Organization
cockroach,236,5,17,222,504,252,25,17,1,1,1,1,1,2.111111111111111,Go,3,System software,Organization
drone,22,1,5,16,71,253,27,5,1,0,0,1,1,1.6,Go,3,Software tools,Organization
consul,35,2,5,29,137,237,42,8,1,0,0,0,1,1.9230769230769231,Go,4,Software tools,Organization
traefik,37,6,6,30,66,398,37,7,1,1,1,0,1,2.5,Go,2,Software tools,Organization
tidb,135,13,11,123,216,382,52,4,1,1,0,1,1,3.111111111111111,Go,2,System software,Organization
terraform,191,10,28,157,494,238,87,6,1,0,0,0,1,3.7857142857142856,Go,3,Software tools,Organization
otp,20,2,11,14,280,63,16,24,1,1,1,1,0,1.6666666666666667,Erlang,8,System software,Organization
awesomo,9,2,0,8,46,489,24,1,1,1,0,1,1,3.0,Erlang,1,Documentation,User
MongooseIM,14,2,3,12,46,13,4,10,1,1,1,1,1,1.8,Erlang,6,,Organization
